timestamp,log_level
2024-03-09T21:19:21.297792,TRACE
2022-10-04T11:26:42.655736,INFO
2024-04-23T01:32:54.805538,TRACE
2024-03-23T12:41:43.248592,FATAL
2020-05-02T05:39:05.588445,CRITICAL
2024-10-18T21:51:12.993712,FATAL
2024-01-28T10:55:08.855825,INFO
2020-01-24T16:30:43.978300,WARN
2020-10-17T02:38:49.546568,INFO
2022-03-28T23:15:18.487415,WARN
2021-04-10T14:46:33.468287,CRITICAL
2023-06-06T17:25:46.840388,TRACE
2020-12-20T00:54:03.964416,ERROR
2023-11-30T14:16:28.801607,WARN
2021-01-29T16:52:24.579367,WARN
2022-05-24T09:01:32.363165,CRITICAL
2022-04-18T03:37:43.675229,FATAL
2023-10-28T03:56:00.843515,INFO
2025-01-20T09:14:16.663250,TRACE
2024-04-10T18:18:31.689656,FATAL
2022-12-27T04:53:09.679578,CRITICAL
2023-12-17T00:41:25.603388,TRACE
2020-04-14T00:32:29.107651,INFO
2020-07-25T04:24:16.675282,ERROR
2025-02-07T18:56:58.945573,TRACE
2024-07-04T00:28:27.799904,CRITICAL
2022-06-14T08:16:48.114347,CRITICAL
2024-08-06T20:31:00.793452,ERROR
2022-02-16T03:58:49.438006,ERROR
2021-09-04T06:40:08.732630,ERROR
2020-01-01T21:02:54.504159,DEBUG
2024-12-03T22:31:35.513239,INFO
2021-12-10T17:36:45.793417,DEBUG
2022-11-21T20:02:13.908450,WARN
2025-02-16T03:26:36.458110,TRACE
2024-04-14T21:26:53.924766,DEBUG
2020-06-29T07:31:32.084721,FATAL
2023-10-23T15:46:11.185079,WARN
2023-12-04T01:38:32.705376,ERROR
2024-02-18T16:57:06.624113,DEBUG
2020-09-09T23:20:54.712764,FATAL
2021-09-16T01:11:32.338789,DEBUG
2023-08-10T10:27:15.213518,DEBUG
2020-02-12T16:49:41.521641,TRACE
2024-10-19T01:08:01.553341,DEBUG
2021-01-22T11:01:41.383700,TRACE
2023-06-23T21:42:14.376931,TRACE
2023-11-17T03:52:00.051116,ERROR
2025-01-06T16:02:19.019289,ERROR
2022-06-18T03:34:34.542852,ERROR
2020-09-28T23:43:52.465623,ERROR
2024-06-26T00:56:40.215215,WARN
2020-06-06T22:36:57.312974,ERROR
2021-08-05T02:34:25.480076,INFO
2023-09-02T01:26:52.999800,INFO
2024-07-19T14:23:02.723756,WARN
2021-06-16T03:40:09.163748,DEBUG
2023-01-28T03:06:00.473875,CRITICAL
2020-06-23T21:16:47.666129,DEBUG
2024-03-19T02:44:47.167855,FATAL
2020-04-09T21:09:40.824762,DEBUG
2022-10-19T12:14:07.346168,INFO
2020-04-13T11:56:10.370057,FATAL
2025-01-17T17:11:53.256822,INFO
2023-12-13T18:31:17.006792,DEBUG
2020-04-11T09:31:48.267669,CRITICAL
2023-12-19T00:41:41.228483,INFO
2023-02-13T16:23:05.219819,ERROR
2022-12-29T03:02:49.709517,TRACE
2023-06-24T15:47:58.034513,CRITICAL
2021-06-24T23:06:10.189672,TRACE
2024-03-04T07:44:11.620037,DEBUG
2025-02-21T20:23:34.073802,DEBUG
2020-06-16T00:33:20.037154,ERROR
2023-02-06T11:23:39.565385,WARN
2022-08-13T05:11:51.653721,ERROR
2020-08-19T16:08:13.830802,TRACE
2020-10-26T16:13:03.848943,ERROR
2023-06-20T13:23:54.024344,TRACE
2023-07-03T04:01:16.827420,ERROR
2020-09-27T11:37:03.260215,CRITICAL
2021-10-05T19:37:42.697391,WARN
2023-09-03T11:18:05.305415,ERROR
2022-01-15T01:55:21.111947,ERROR
2021-09-26T02:07:33.805055,DEBUG
2024-04-21T21:15:49.438554,DEBUG
2020-09-25T23:26:58.087363,DEBUG
2023-11-03T14:48:30.792116,WARN
2024-01-06T22:33:44.794857,ERROR
2023-12-14T08:28:39.949926,INFO
2021-08-01T01:16:23.395708,DEBUG
2020-02-27T12:43:03.875229,TRACE
2020-04-02T17:22:08.832870,TRACE
2024-01-04T11:05:06.043037,ERROR
2020-10-22T18:25:00.829384,INFO
2022-05-11T20:19:34.194564,WARN
2021-01-07T17:26:02.039688,WARN
2024-04-02T19:02:52.566745,INFO
2021-11-27T02:30:35.004672,DEBUG
2025-01-17T01:44:32.877529,DEBUG
2020-04-05T08:59:51.995432,WARN
2021-01-10T11:04:28.887717,CRITICAL
2021-04-25T06:47:32.821734,FATAL
2021-07-30T19:08:42.978735,FATAL
2021-10-11T12:48:48.399393,FATAL
2025-02-09T11:01:33.065875,CRITICAL
2024-07-29T09:02:57.703566,INFO
2023-11-21T19:34:00.721811,DEBUG
2021-07-06T08:00:37.949487,CRITICAL
2020-07-14T09:10:21.144269,INFO
2022-11-19T00:48:06.451405,WARN
2025-01-07T14:24:41.639154,ERROR
2020-05-13T18:37:27.287761,CRITICAL
2024-01-26T14:13:22.558039,INFO
2022-09-30T20:27:09.698942,INFO
2020-07-18T08:18:48.690706,ERROR
2022-05-15T04:16:58.125538,DEBUG
2023-08-10T12:57:06.985622,INFO
2024-04-13T15:28:09.893766,CRITICAL
2020-08-11T02:57:35.706963,DEBUG
2020-09-12T17:30:31.223332,INFO
2022-10-08T23:36:44.270663,INFO
2021-09-02T12:50:02.280751,ERROR
2024-06-15T12:19:09.165439,DEBUG
2023-11-17T07:00:05.049187,TRACE
2020-02-24T15:43:11.060858,ERROR
2021-09-10T02:34:32.416844,ERROR
2022-07-11T16:41:44.729378,INFO
2023-05-01T13:06:17.003675,ERROR
2023-03-08T19:21:41.976082,TRACE
2024-06-16T06:47:36.361870,ERROR
2024-03-06T14:40:19.633153,CRITICAL
2024-12-09T04:02:58.358476,INFO
2024-11-01T10:01:54.915398,INFO
2023-02-14T21:15:19.937440,FATAL
2024-11-08T21:10:37.599476,WARN
2020-08-26T23:05:01.681243,WARN
2023-04-23T23:42:07.986842,DEBUG
2023-06-21T16:27:25.452574,WARN
2024-08-22T18:24:37.140456,INFO
2023-05-24T01:39:00.780175,WARN
2021-11-11T12:56:54.049142,WARN
2020-03-20T03:08:31.047959,WARN
2020-11-19T20:34:51.014074,INFO
2024-09-12T12:34:27.384106,CRITICAL
2021-08-28T14:23:08.899894,INFO
2022-08-08T06:34:23.762516,DEBUG
2022-10-01T23:26:50.379037,DEBUG
2024-02-24T04:46:14.055398,INFO
2020-06-04T03:51:15.935667,FATAL
2024-10-13T20:14:46.876689,INFO
2024-12-11T08:38:41.414936,FATAL
2022-11-19T22:03:32.197978,FATAL
2020-09-02T21:57:05.685154,FATAL
2024-12-19T00:44:40.082469,ERROR
2024-12-13T00:27:47.975021,WARN
2023-07-01T18:25:12.750493,CRITICAL
2021-01-18T08:13:52.455517,INFO
2024-02-11T19:41:13.554638,WARN
2021-10-09T15:46:16.572075,ERROR
2020-07-19T21:51:03.591542,WARN
2021-06-20T09:55:07.791513,TRACE
2024-10-18T20:11:41.869170,DEBUG
2024-06-26T03:07:28.900510,CRITICAL
2025-03-05T11:19:36.470389,TRACE
2024-05-15T01:51:43.706815,DEBUG
2024-10-24T07:32:05.290733,CRITICAL
2021-03-02T14:41:30.896656,WARN
2024-01-02T01:12:53.147497,WARN
2023-03-11T07:12:13.527734,DEBUG
2023-12-31T00:16:06.444268,FATAL
2023-01-25T14:26:44.240508,DEBUG
2023-12-11T12:35:05.525127,TRACE
2020-04-07T08:57:06.192625,ERROR
2022-12-24T10:56:39.633437,CRITICAL
2022-12-26T10:05:02.219420,DEBUG
2020-11-25T22:51:28.644269,TRACE
2023-09-26T06:56:35.035343,INFO
2021-10-22T19:47:26.312824,INFO
2022-02-10T01:19:50.550700,INFO
2023-04-22T17:02:24.030050,INFO
2023-11-13T13:47:20.056195,ERROR
2024-09-17T08:29:51.937103,TRACE
2024-06-03T17:53:37.869973,DEBUG
2022-11-13T08:52:54.021719,TRACE
2024-04-09T09:49:08.891737,FATAL
2023-08-07T19:58:28.943456,CRITICAL
2021-03-14T04:28:52.156443,CRITICAL
2021-05-30T11:48:40.269259,FATAL
2021-04-18T13:07:52.666498,WARN
2021-11-25T23:11:50.596188,INFO
2025-01-06T22:28:26.583420,DEBUG
2023-08-02T14:33:45.892409,TRACE
2023-06-22T15:51:08.592422,INFO
2021-08-16T22:42:09.374742,INFO
2023-01-12T11:42:20.174299,TRACE
2022-06-02T10:54:54.873520,ERROR
2024-01-24T17:08:02.139992,CRITICAL
2021-08-11T18:12:40.635357,ERROR
2022-07-10T02:48:07.563054,DEBUG
2022-11-30T00:52:32.875598,INFO
2023-08-30T10:41:49.121965,WARN
2020-09-10T17:28:40.050710,CRITICAL
2022-06-23T14:23:45.063992,WARN
2023-06-18T00:18:08.911252,CRITICAL
2022-09-28T11:31:32.342999,WARN
2020-05-20T02:46:53.653184,WARN
2025-02-26T16:31:31.671683,ERROR
2022-11-23T09:04:42.124149,DEBUG
2021-11-22T06:55:02.518755,WARN
2021-01-23T05:03:09.764615,WARN
2022-11-22T22:07:07.822739,ERROR
2020-06-17T17:41:50.544477,WARN
2022-05-14T06:26:47.509342,WARN
2021-01-06T08:25:34.920798,INFO
2023-11-21T09:26:50.882178,DEBUG
2021-03-11T04:54:22.972988,TRACE
2022-09-07T11:11:01.164048,ERROR
2022-05-20T11:40:50.548488,WARN
2022-08-31T04:02:25.937621,FATAL
2024-03-15T23:04:27.825370,ERROR
